init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
950 1.32735940e+02 2.35954e-03 2.18027e+00 9.61439e-05 1.25386e+02
960 1.34127522e+02 2.35146e-03 2.20401e+00 9.77501e-05 1.23790e+02
970 1.35516967e+02 2.49807e-03 2.22858e+00 9.37910e-05 1.09817e+02
980 1.36930286e+02 2.43752e-03 2.25271e+00 8.94654e-05 1.08256e+02
990 1.38296051e+02 2.30243e-03 2.27739e+00 9.63867e-05 1.03110e+02
1000 1.39681823e+02 2.78240e-03 2.30214e+00 8.98123e-05 1.03585e+02
1010 1.41063919e+02 2.61981e-03 2.32797e+00 9.33763e-05 1.05317e+02
1020 1.42426707e+02 2.66859e-03 2.35480e+00 9.36144e-05 1.00682e+02
1030 1.43791376e+02 2.71644e-03 2.38111e+00 9.71097e-05 9.82461e+01
1040 1.45155896e+02 2.70740e-03 2.40862e+00 9.94034e-05 9.21944e+01
1050 1.46513076e+02 2.66671e-03 2.43600e+00 9.63687e-05 9.84350e+01
1060 1.47877175e+02 2.88419e-03 2.46304e+00 9.70809e-05 9.94546e+01
1070 1.49236581e+02 2.65101e-03 2.49007e+00 8.95603e-05 9.65812e+01
1080 1.50588990e+02 2.98276e-03 2.51750e+00 9.73407e-05 9.42142e+01
1090 1.51944033e+02 2.68716e-03 2.54570e+00 9.83640e-05 9.68385e+01
1100 1.53270575e+02 2.98908e-03 2.57406e+00 9.78426e-05 9.03445e+01
1110 1.54608527e+02 3.16211e-03 2.60444e+00 9.97623e-05 8.97997e+01
1120 1.55940616e+02 3.03201e-03 2.63532e+00 8.66910e-05 9.78024e+01
1130 1.57289016e+02 3.08583e-03 2.66614e+00 8.41879e-05 9.33182e+01
1140 1.58615624e+02 3.16398e-03 2.69578e+00 9.54721e-05 9.13095e+01
1150 1.59964968e+02 3.24209e-03 2.72766e+00 8.95612e-05 9.19493e+01
1160 1.61336177e+02 3.37823e-03 2.76015e+00 8.62672e-05 8.95910e+01
1170 1.62664941e+02 2.87350e-03 2.79165e+00 9.68437e-05 8.95254e+01
1180 1.64034242e+02 3.10433e-03 2.82297e+00 9.77034e-05 9.11141e+01
1190 1.65390338e+02 2.89670e-03 2.85334e+00 9.62227e-05 1.05348e+02
1200 1.66792430e+02 2.95451e-03 2.88244e+00 9.15110e-05 9.95386e+01
1210 1.68170286e+02 3.03892e-03 2.91307e+00 9.58389e-05 1.02661e+02
