================================================================================
HPC^2 EXECUTION PARAMETERS
================================================================================
                       profile: true
                       overlap: true
                           thr: [4]
Default used for parameters:
                           upd: 1
                           soc: 0
                           dev: 1
                           arc: []
                           str: []
                           wgt: []
                           smf: []
--------------------------------------------------------------------------------
 dev[0]: arc=0, thr=4, wgt=1.000000, smf=1
init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
 rank 0, part 0: inn 122880, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 393216, ifc 8192, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 126976, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 4096, ifc 0, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 2, ifc 3, hal 0; send 0; swap 0; recv 0
dim_: 1, ncmp: 1, dim: 1
#  ite wclock  ts time  resSolver  max(ux) 
830 1.07409587e+03 2.76970e-03 2.25458e+00 1.12033e-04 9.05052e+01
840 1.08599897e+03 3.18433e-03 2.28400e+00 1.24243e-04 8.95252e+01
850 1.09855967e+03 2.92154e-03 2.31383e+00 1.18383e-04 9.06930e+01
860 1.11108595e+03 2.91834e-03 2.34230e+00 1.15438e-04 8.76905e+01
870 1.12358600e+03 2.89514e-03 2.37009e+00 1.09743e-04 9.56746e+01
880 1.13454709e+03 2.84355e-03 2.39940e+00 1.17773e-04 9.90376e+01
890 1.14511959e+03 3.05749e-03 2.42947e+00 1.23872e-04 9.73361e+01
900 1.15714460e+03 2.60910e-03 2.45677e+00 1.07678e-04 9.96235e+01
910 1.16936891e+03 2.99335e-03 2.48380e+00 1.16229e-04 9.21569e+01
920 1.18177893e+03 3.08784e-03 2.51396e+00 1.20809e-04 9.08212e+01
930 1.19430729e+03 3.03032e-03 2.54503e+00 1.21529e-04 8.72249e+01
940 1.20663938e+03 3.24189e-03 2.57557e+00 1.24464e-04 8.87031e+01
950 1.21917235e+03 3.08487e-03 2.60649e+00 1.19068e-04 9.33309e+01
960 1.23195053e+03 3.21432e-03 2.63818e+00 1.11823e-04 8.80554e+01
970 1.24427097e+03 3.02831e-03 2.66903e+00 1.13330e-04 9.08864e+01
980 1.25492201e+03 2.90870e-03 2.70080e+00 1.12190e-04 8.68987e+01
990 1.26509306e+03 2.90069e-03 2.72839e+00 1.03594e-04 9.21304e+01
1000 1.27537308e+03 3.13070e-03 2.75769e+00 1.15965e-04 8.60018e+01
1010 1.28584134e+03 3.27217e-03 2.78918e+00 1.22100e-04 8.02179e+01
1020 1.29672912e+03 3.12587e-03 2.82097e+00 1.11071e-04 7.94232e+01
1030 1.30771000e+03 2.79687e-03 2.85004e+00 1.05314e-04 8.42654e+01
1040 1.31958284e+03 3.04937e-03 2.88061e+00 1.15965e-04 8.10977e+01
1050 1.33230381e+03 2.96734e-03 2.91144e+00 1.16324e-04 8.24410e+01
1060 1.34499998e+03 3.37975e-03 2.94287e+00 1.20745e-04 7.86966e+01
1070 1.35778894e+03 2.91039e-03 2.97511e+00 1.09678e-04 1.01140e+02
1080 1.37068261e+03 3.17429e-03 3.00548e+00 1.18590e-04 9.07742e+01
1090 1.38361272e+03 3.13067e-03 3.03800e+00 1.10306e-04 8.36831e+01
1100 1.39627073e+03 2.99746e-03 3.06840e+00 1.14820e-04 8.36134e+01
1110 1.40879657e+03 3.12250e-03 3.09830e+00 1.15322e-04 8.56533e+01
1120 1.42132982e+03 2.66485e-03 3.12903e+00 1.07151e-04 8.71983e+01
1130 1.43334447e+03 2.59917e-03 3.15544e+00 1.07917e-04 8.37462e+01
1140 1.44593393e+03 3.27406e-03 3.18461e+00 1.20562e-04 8.77115e+01
1150 1.45847762e+03 2.57210e-03 3.21366e+00 1.03842e-04 9.66446e+01
1160 1.47102540e+03 2.69442e-03 3.24118e+00 1.05165e-04 9.63239e+01
1170 1.48350600e+03 3.18476e-03 3.27068e+00 1.18517e-04 7.78266e+01
1180 1.49572542e+03 2.99265e-03 3.30122e+00 1.10536e-04 7.87595e+01
1190 1.50809788e+03 3.21515e-03 3.33283e+00 1.16943e-04 7.90070e+01
1200 1.52050174e+03 3.12002e-03 3.36496e+00 1.07508e-04 8.46195e+01
1210 1.53270545e+03 2.94444e-03 3.39603e+00 1.10745e-04 9.72079e+01
1220 1.54480470e+03 3.10327e-03 3.42425e+00 1.08718e-04 9.95050e+01
1230 1.55703090e+03 3.11081e-03 3.45655e+00 1.14000e-04 8.39913e+01
1240 1.56926721e+03 3.45125e-03 3.48922e+00 1.16142e-04 8.05173e+01
1250 1.58164970e+03 3.11019e-03 3.52200e+00 1.11526e-04 8.14411e+01
1260 1.59388075e+03 2.78767e-03 3.55161e+00 9.95193e-05 9.25850e+01
1270 1.60627980e+03 2.96512e-03 3.58170e+00 9.92265e-05 8.32924e+01
1280 1.61859648e+03 3.07171e-03 3.61169e+00 1.03260e-04 9.11174e+01
1290 1.63108058e+03 3.09945e-03 3.64357e+00 1.04025e-04 8.37145e+01
1300 1.64370328e+03 3.01759e-03 3.67640e+00 9.59235e-05 8.00125e+01
1310 1.65638533e+03 3.14543e-03 3.70714e+00 9.97037e-05 7.72937e+01
1320 1.66917910e+03 3.10661e-03 3.73859e+00 1.02956e-04 8.26581e+01
1330 1.68198882e+03 3.38074e-03 3.77058e+00 1.06106e-04 7.61216e+01
1340 1.69449639e+03 3.15208e-03 3.80313e+00 1.01404e-04 8.29848e+01
1350 1.70687595e+03 3.29884e-03 3.83413e+00 1.00102e-04 7.85807e+01
1360 1.71944239e+03 3.42322e-03 3.86663e+00 1.07710e-04 8.51943e+01
1370 1.73206468e+03 3.29632e-03 3.90047e+00 1.04015e-04 7.48379e+01
1380 1.74448908e+03 3.33209e-03 3.93438e+00 1.02729e-04 8.97707e+01
1390 1.75641935e+03 2.93903e-03 3.96618e+00 8.88823e-05 8.06690e+01
1400 1.76904137e+03 3.38366e-03 3.99916e+00 1.04154e-04 7.49178e+01
1410 1.78193289e+03 3.14924e-03 4.03285e+00 9.67722e-05 7.48302e+01
1420 1.79458271e+03 3.04843e-03 4.06163e+00 9.34060e-05 7.70073e+01
1430 1.80732041e+03 3.55721e-03 4.09550e+00 1.00156e-04 7.54527e+01
1440 1.81992942e+03 3.38063e-03 4.12999e+00 9.97906e-05 7.39969e+01
1450 1.83239397e+03 3.34174e-03 4.16415e+00 1.00693e-04 7.13372e+01
1460 1.84473376e+03 3.10278e-03 4.19606e+00 9.11950e-05 7.01340e+01
1470 1.85717463e+03 3.46110e-03 4.22885e+00 1.01405e-04 7.37707e+01
1480 1.86983824e+03 3.53260e-03 4.26458e+00 9.96373e-05 7.69801e+01
1490 1.88211383e+03 3.52756e-03 4.29781e+00 1.01095e-04 7.49589e+01
1500 1.89394492e+03 3.57086e-03 4.33214e+00 1.02856e-04 7.17677e+01
1510 1.90628564e+03 3.45258e-03 4.36641e+00 9.60216e-05 6.99649e+01
1520 1.91852629e+03 3.06387e-03 4.39903e+00 8.90495e-05 7.31408e+01
1530 1.93083844e+03 3.49924e-03 4.43302e+00 9.30379e-05 7.36232e+01
1540 1.94315607e+03 3.14288e-03 4.46630e+00 8.34580e-05 7.97486e+01
1550 1.95545311e+03 3.14486e-03 4.49651e+00 9.02650e-05 8.29512e+01
1560 1.96789029e+03 3.30462e-03 4.52920e+00 9.74679e-05 7.28339e+01
1570 1.98039155e+03 3.27873e-03 4.56394e+00 9.27881e-05 7.73114e+01
1580 1.99283472e+03 3.34334e-03 4.59665e+00 9.59254e-05 7.75626e+01
1590 2.00531398e+03 3.31998e-03 4.63140e+00 1.00724e-04 8.39706e+01
1600 2.01776034e+03 3.37689e-03 4.66373e+00 1.02741e-04 7.88106e+01
1610 2.03025745e+03 3.20368e-03 4.69700e+00 9.65802e-05 7.75217e+01
1620 2.04264270e+03 3.11920e-03 4.72900e+00 9.63848e-05 7.18024e+01
1630 2.05505278e+03 3.22198e-03 4.76085e+00 9.23384e-05 7.57497e+01
1640 2.06754942e+03 3.55461e-03 4.79503e+00 1.04312e-04 7.08640e+01
1650 2.07887608e+03 3.05203e-03 4.82863e+00 9.00163e-05 7.31256e+01
1660 2.08916613e+03 3.31317e-03 4.86102e+00 9.35607e-05 7.23335e+01
1670 2.09968499e+03 3.63030e-03 4.89557e+00 1.02272e-04 7.72201e+01
1680 2.11055619e+03 3.38148e-03 4.92998e+00 9.84314e-05 7.96395e+01
1690 2.12292772e+03 3.36221e-03 4.96328e+00 9.86094e-05 7.56225e+01
1700 2.13531215e+03 3.65993e-03 4.99707e+00 1.01252e-04 7.64791e+01
1710 2.14762683e+03 3.62335e-03 5.03249e+00 9.69665e-05 7.44546e+01
1720 2.16009641e+03 3.25969e-03 5.06825e+00 9.37160e-05 6.67204e+01
1730 2.17256538e+03 3.36768e-03 5.10330e+00 9.40389e-05 7.34426e+01
1740 2.18479034e+03 3.17897e-03 5.13639e+00 9.14884e-05 7.07268e+01
1750 2.19697541e+03 3.46364e-03 5.16815e+00 9.41034e-05 6.93984e+01
1760 2.20930078e+03 3.37615e-03 5.20247e+00 9.32006e-05 7.30500e+01
1770 2.22159059e+03 3.68410e-03 5.23893e+00 9.98843e-05 7.57703e+01
1780 2.23378740e+03 3.43422e-03 5.27464e+00 9.05632e-05 7.30570e+01
1790 2.24574161e+03 3.23924e-03 5.30610e+00 8.83817e-05 7.68284e+01
1800 2.25785252e+03 3.46584e-03 5.34105e+00 9.36723e-05 6.87738e+01
