init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
1280 2.39802401e+02 2.39269e-04 4.19291e-01 2.92951e-05 1.48646e+02
1290 2.41436525e+02 2.49632e-04 4.21701e-01 2.17485e-05 1.41860e+02
1300 2.43070656e+02 2.56543e-04 4.24243e-01 2.34599e-05 1.36179e+02
1310 2.44707143e+02 2.61165e-04 4.26872e-01 3.29582e-05 1.37077e+02
1320 2.46341733e+02 2.56373e-04 4.29437e-01 2.33389e-05 1.37955e+02
1330 2.47973914e+02 2.54591e-04 4.31988e-01 2.37641e-05 1.38837e+02
1340 2.49605406e+02 2.47722e-04 4.34548e-01 3.18275e-05 1.42023e+02
1350 2.51245140e+02 2.50523e-04 4.37005e-01 2.32243e-05 1.38279e+02
1360 2.52903513e+02 2.55635e-04 4.39552e-01 2.29940e-05 1.37093e+02
1370 2.54548538e+02 2.70484e-04 4.42199e-01 2.31162e-05 1.29077e+02
1380 2.56185824e+02 2.54683e-04 4.44873e-01 2.49557e-05 1.39317e+02
1390 2.57821828e+02 2.57188e-04 4.47400e-01 1.51098e-05 1.35977e+02
1400 2.59457570e+02 2.68834e-04 4.50073e-01 2.49321e-05 1.31223e+02
1410 2.61092535e+02 2.56719e-04 4.52700e-01 1.58991e-05 1.37787e+02
1420 2.62734949e+02 2.44708e-04 4.55258e-01 2.84516e-05 1.46367e+02
1430 2.64378204e+02 2.30798e-04 4.57614e-01 1.14724e-05 1.52411e+02
1440 2.66033732e+02 2.52277e-04 4.59986e-01 1.28957e-05 1.41428e+02
1450 2.67681446e+02 2.44362e-04 4.62447e-01 9.26888e-06 1.44444e+02
1460 2.69325266e+02 2.68706e-04 4.64982e-01 6.49023e-06 1.32148e+02
1470 2.70991807e+02 2.64878e-04 4.67657e-01 1.64608e-05 1.32931e+02
1480 2.72646384e+02 2.67521e-04 4.70328e-01 1.21565e-05 1.31767e+02
1490 2.74285822e+02 2.56077e-04 4.72979e-01 1.19005e-05 1.38596e+02
1500 2.75924506e+02 2.64056e-04 4.75561e-01 1.04053e-05 1.34581e+02
1510 2.77601638e+02 2.61571e-04 4.78209e-01 1.39142e-05 1.34820e+02
1520 2.79279337e+02 2.53579e-04 4.80788e-01 1.31794e-05 1.39979e+02
1530 2.80927092e+02 2.55739e-04 4.83362e-01 2.50556e-05 1.36837e+02
1540 2.82566538e+02 2.50468e-04 4.85855e-01 1.04327e-05 1.39126e+02
1550 2.84198239e+02 2.73096e-04 4.88497e-01 1.51687e-05 1.28726e+02
1560 2.85831382e+02 2.78587e-04 4.91236e-01 8.91271e-06 1.25630e+02
1570 2.87474311e+02 2.79145e-04 4.94079e-01 1.88928e-05 1.28299e+02
1580 2.89108362e+02 2.66289e-04 4.96789e-01 1.05454e-05 1.33247e+02
1590 2.90759050e+02 2.67389e-04 4.99438e-01 1.19294e-05 1.32560e+02
1600 2.92422928e+02 2.60098e-04 5.02067e-01 9.21440e-06 1.36172e+02
1610 2.94069082e+02 2.57774e-04 5.04657e-01 6.39781e-06 1.37074e+02
1620 2.95709813e+02 2.68082e-04 5.07295e-01 8.11832e-06 1.33741e+02
1630 2.97357133e+02 2.61770e-04 5.09908e-01 9.58044e-06 1.34449e+02
1640 2.98997285e+02 2.79110e-04 5.12643e-01 1.57694e-05 1.27294e+02
1650 3.00633560e+02 2.89684e-04 5.15450e-01 1.50278e-05 1.21055e+02
1660 3.02277304e+02 2.84704e-04 5.18376e-01 1.68205e-05 1.25814e+02
1670 3.03923632e+02 2.80790e-04 5.21171e-01 9.46636e-06 1.25658e+02
1680 3.05583743e+02 2.73816e-04 5.24007e-01 1.17599e-05 1.30439e+02
1690 3.07231263e+02 2.70790e-04 5.26718e-01 7.56513e-06 1.30055e+02
1700 3.08865830e+02 2.82030e-04 5.29458e-01 9.51917e-06 1.24214e+02
1710 3.10499924e+02 2.88409e-04 5.32338e-01 8.94521e-06 1.23232e+02
1720 3.12134871e+02 2.84523e-04 5.35198e-01 6.98504e-06 1.23445e+02
1730 3.13767884e+02 2.87645e-04 5.38069e-01 7.01433e-06 1.23517e+02
1740 3.15401993e+02 2.86058e-04 5.40967e-01 9.28558e-06 1.24492e+02
1750 3.17036093e+02 2.84039e-04 5.43800e-01 8.81303e-06 1.23448e+02
1760 3.18671465e+02 2.96597e-04 5.46755e-01 1.05191e-05 1.21358e+02
1770 3.20333158e+02 2.79463e-04 5.49600e-01 9.05496e-06 1.26349e+02
1780 3.22002340e+02 2.80443e-04 5.52443e-01 7.84083e-06 1.27166e+02
1790 3.23642880e+02 2.83226e-04 5.55236e-01 7.13694e-06 1.24655e+02
1800 3.25292051e+02 2.97642e-04 5.58153e-01 6.26099e-06 1.19776e+02
1810 3.26930964e+02 2.92952e-04 5.61087e-01 6.18181e-06 1.20576e+02
1820 3.28575439e+02 2.94405e-04 5.64040e-01 6.69432e-06 1.20657e+02
1830 3.30217052e+02 3.01421e-04 5.67019e-01 8.03273e-06 1.18324e+02
1840 3.31864064e+02 3.00195e-04 5.70005e-01 9.79408e-06 1.18948e+02
1850 3.33516227e+02 2.89572e-04 5.72944e-01 7.34856e-06 1.22633e+02
1860 3.35170091e+02 2.85695e-04 5.75834e-01 6.98099e-06 1.24520e+02
1870 3.36811918e+02 2.94543e-04 5.78710e-01 1.24755e-05 1.19630e+02
1880 3.38449269e+02 3.09663e-04 5.81748e-01 1.13055e-05 1.14806e+02
1890 3.40092561e+02 3.17587e-04 5.84870e-01 1.22633e-05 1.11553e+02
1900 3.41728931e+02 3.04834e-04 5.88029e-01 1.35570e-05 1.17015e+02
1910 3.43372846e+02 3.09123e-04 5.91060e-01 1.38120e-05 1.13865e+02
1920 3.45037637e+02 3.02841e-04 5.94143e-01 1.03741e-05 1.16813e+02
1930 3.46689267e+02 3.19572e-04 5.97238e-01 7.82951e-06 1.11308e+02
1940 3.48345995e+02 3.11918e-04 6.00382e-01 6.60839e-06 1.13507e+02
1950 3.49994766e+02 3.13981e-04 6.03501e-01 8.06351e-06 1.12437e+02
1960 3.51650336e+02 2.80311e-04 6.06485e-01 6.95178e-06 1.27262e+02
1970 3.53291495e+02 2.79000e-04 6.09255e-01 5.69893e-06 1.26543e+02
1980 3.54930985e+02 3.12386e-04 6.12163e-01 1.14648e-05 1.11736e+02
1990 3.56580338e+02 3.08324e-04 6.15334e-01 9.21324e-06 1.15329e+02
2000 3.58228367e+02 3.07846e-04 6.18429e-01 1.60481e-05 1.16338e+02
2010 3.59874174e+02 3.01802e-04 6.21443e-01 6.30093e-06 1.16947e+02
2020 3.61540713e+02 3.11060e-04 6.24497e-01 4.87422e-06 1.12928e+02
2030 3.63187078e+02 3.19965e-04 6.27694e-01 6.84961e-06 1.10566e+02
2040 3.64833106e+02 3.15119e-04 6.30874e-01 6.43512e-06 1.12631e+02
