init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
1780 2.34136200e+02 2.89471e-04 5.55221e-01 2.59467e-05 1.23492e+02
1790 2.35242591e+02 2.83681e-04 5.58065e-01 1.53627e-05 1.24573e+02
1800 2.36602736e+02 2.82317e-04 5.60920e-01 1.53208e-05 1.25496e+02
1810 2.37787562e+02 3.10976e-04 5.63836e-01 7.76488e-06 1.12610e+02
1820 2.40351729e+02 2.89636e-04 5.66839e-01 1.38371e-05 1.22444e+02
1830 2.42580241e+02 3.09025e-04 5.69817e-01 1.67255e-05 1.14927e+02
1840 2.46215595e+02 2.94156e-04 5.72838e-01 1.25899e-05 1.20726e+02
1850 2.49822385e+02 3.05116e-04 5.75823e-01 8.06980e-06 1.17211e+02
1860 2.53689586e+02 2.98844e-04 5.78813e-01 5.53979e-06 1.18222e+02
1870 2.55795750e+02 3.13934e-04 5.81886e-01 6.41236e-06 1.12526e+02
1880 2.58348221e+02 3.02262e-04 5.85053e-01 1.02811e-05 1.18456e+02
1890 2.62350653e+02 3.02250e-04 5.88026e-01 7.00107e-06 1.15644e+02
1900 2.63716784e+02 3.11407e-04 5.91140e-01 8.93134e-06 1.13862e+02
1910 2.65638231e+02 3.01787e-04 5.94245e-01 1.11078e-05 1.18382e+02
1920 2.67183642e+02 3.00784e-04 5.97227e-01 9.03269e-06 1.17217e+02
1930 2.70691348e+02 3.05344e-04 6.00299e-01 1.18837e-05 1.16803e+02
1940 2.76751050e+02 3.05340e-04 6.03328e-01 9.64595e-06 1.15564e+02
1950 2.81082807e+02 3.31236e-04 6.06487e-01 1.03987e-05 1.07414e+02
1960 2.84450939e+02 3.30230e-04 6.09770e-01 1.00584e-05 1.06858e+02
1970 2.87218226e+02 3.34179e-04 6.13124e-01 1.09885e-05 1.04805e+02
1980 2.89846552e+02 3.26780e-04 6.16457e-01 1.03739e-05 1.09402e+02
1990 2.92297984e+02 3.20903e-04 6.19675e-01 7.17310e-06 1.10351e+02
2000 2.94475256e+02 3.17684e-04 6.22882e-01 9.14253e-06 1.11793e+02
2010 2.96645508e+02 3.11482e-04 6.26062e-01 1.09369e-05 1.14139e+02
2020 2.99045869e+02 3.18457e-04 6.29186e-01 9.15055e-06 1.11232e+02
2030 3.01417436e+02 3.25874e-04 6.32420e-01 8.38578e-06 1.08446e+02
2040 3.03859900e+02 3.38052e-04 6.35739e-01 5.75909e-06 1.04116e+02
2050 3.05991446e+02 3.41786e-04 6.39123e-01 4.68838e-06 1.03186e+02
2060 3.08153356e+02 3.22603e-04 6.42451e-01 3.54160e-06 1.10220e+02
2070 3.10422457e+02 3.25195e-04 6.45678e-01 3.63388e-06 1.08896e+02
2080 3.12509629e+02 3.21484e-04 6.48922e-01 7.20482e-06 1.10445e+02
2090 3.14789665e+02 3.31921e-04 6.52163e-01 1.15994e-05 1.06219e+02
2100 3.17154888e+02 3.31027e-04 6.55501e-01 1.19585e-05 1.07362e+02
2110 3.19450297e+02 3.37720e-04 6.58820e-01 1.16856e-05 1.04360e+02
2120 3.21514547e+02 3.26051e-04 6.62190e-01 8.60454e-06 1.09074e+02
2130 3.23597719e+02 3.30208e-04 6.65433e-01 8.05042e-06 1.07038e+02
2140 3.25864545e+02 3.40644e-04 6.68766e-01 7.11868e-06 1.02976e+02
2150 3.28136509e+02 3.42616e-04 6.72256e-01 9.91906e-06 1.04337e+02
2160 3.30317231e+02 3.20976e-04 6.75563e-01 9.10240e-06 1.10965e+02
2170 3.34020584e+02 3.09149e-04 6.78740e-01 8.93245e-06 1.15310e+02
2180 3.36278335e+02 3.26389e-04 6.81858e-01 1.20727e-05 1.06986e+02
2190 3.39759104e+02 3.29293e-04 6.85222e-01 7.08958e-06 1.08354e+02
