init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
1010 1.04504113e+02 3.26878e-04 3.75654e-01 5.65093e-05 1.09435e+02
1020 1.05556805e+02 3.16633e-04 3.78854e-01 5.44723e-05 1.11963e+02
1030 1.06615488e+02 3.31846e-04 3.82068e-01 6.52443e-05 1.06695e+02
1040 1.07645106e+02 3.28699e-04 3.85391e-01 6.40573e-05 1.08302e+02
1050 1.08686771e+02 3.32600e-04 3.88677e-01 7.14354e-05 1.06215e+02
1060 1.09760988e+02 3.25176e-04 3.92034e-01 6.71830e-05 1.10136e+02
1070 1.10944066e+02 3.13133e-04 3.95210e-01 6.52503e-05 1.13424e+02
1080 1.12389056e+02 3.21088e-04 3.98374e-01 6.94601e-05 1.10261e+02
1090 1.13636552e+02 3.18546e-04 4.01621e-01 6.93649e-05 1.12051e+02
1100 1.15588931e+02 3.18295e-04 4.04779e-01 7.19032e-05 1.11076e+02
1110 1.16958499e+02 3.20524e-04 4.08016e-01 7.60207e-05 1.10900e+02
1120 1.18432542e+02 3.25647e-04 4.11231e-01 8.27501e-05 1.08918e+02
1130 1.20587418e+02 3.26019e-04 4.14488e-01 8.56559e-05 1.09633e+02
1140 1.22211295e+02 3.14886e-04 4.17691e-01 8.39227e-05 1.13993e+02
1150 1.24221415e+02 2.81285e-04 4.20665e-01 6.71663e-05 1.26955e+02
1160 1.26636537e+02 2.77296e-04 4.23438e-01 6.62342e-05 1.27575e+02
1170 1.34356337e+02 3.02404e-04 4.26296e-01 8.52019e-05 1.15764e+02
1180 1.36750656e+02 3.16384e-04 4.29442e-01 8.21014e-05 1.12515e+02
1190 1.37942128e+02 3.14147e-04 4.32607e-01 8.19835e-05 1.13289e+02
1200 1.39012587e+02 3.01776e-04 4.35714e-01 7.54468e-05 1.18094e+02
1210 1.41066722e+02 3.09500e-04 4.38724e-01 8.97928e-05 1.13198e+02
1220 1.42238058e+02 3.03604e-04 4.41871e-01 7.94468e-05 1.17363e+02
1230 1.43426427e+02 2.96270e-04 4.44843e-01 8.17213e-05 1.19460e+02
1240 1.44579402e+02 3.02353e-04 4.47816e-01 8.84612e-05 1.16527e+02
1250 1.46454199e+02 3.15668e-04 4.50913e-01 9.63177e-05 1.11141e+02
1260 1.49280796e+02 3.06309e-04 4.54041e-01 8.51485e-05 1.16375e+02
1270 1.50854824e+02 2.94755e-04 4.57027e-01 7.76811e-05 1.20151e+02
1280 1.53189222e+02 2.88214e-04 4.59956e-01 7.19286e-05 1.22699e+02
1290 1.54540525e+02 2.70733e-04 4.62767e-01 6.29188e-05 1.31436e+02
1300 1.57526842e+02 2.79704e-04 4.65484e-01 6.99266e-05 1.25348e+02
1310 1.58769684e+02 2.92159e-04 4.68388e-01 7.41462e-05 1.21087e+02
1320 1.60048958e+02 2.81413e-04 4.71268e-01 7.05396e-05 1.25839e+02
1330 1.62116054e+02 2.77902e-04 4.74046e-01 6.78022e-05 1.26575e+02
1340 1.63439420e+02 2.99007e-04 4.76917e-01 7.76968e-05 1.18596e+02
1350 1.64595574e+02 2.92198e-04 4.79890e-01 7.85580e-05 1.21808e+02
1360 1.65697488e+02 3.03184e-04 4.82837e-01 7.71423e-05 1.16336e+02
1370 1.67136729e+02 2.95754e-04 4.85885e-01 8.87802e-05 1.20630e+02
1380 1.68623528e+02 2.94925e-04 4.88810e-01 7.31683e-05 1.19490e+02
1390 1.70005869e+02 2.78816e-04 4.91718e-01 7.33481e-05 1.27608e+02
1400 1.71141643e+02 2.82839e-04 4.94494e-01 6.18594e-05 1.23383e+02
